C1,4.00,17.00,180.00,1uF,CAPC1005X60
C10,12.50,73.50,180.00,1uF,CAPC1005X60
C11,23.00,74.00,270.00,1uF,CAPC1005X60
C12,20.00,74.00,270.00,1uF,CAPC1005X60
C13,19.00,49.50,90.00,1nF,CAPC1005X60
C14,24.50,64.50,0.00,1nF,CAPC1005X60
C15,25.50,74.00,90.00,1uF,CAPC1005X60
C16,18.55,40.00,270.00,1uF,CAPC1005X60
C17,8.00,40.00,270.00,1uF,CAPC1005X60
C18,26.50,19.00,0.00,1uF,CAPC1005X60
C19,9.50,73.50,0.00,1uF,CAPC1005X60
C2,14.00,17.00,0.00,1uF,CAPC1005X60
C20,12.50,7.50,90.00,1uF,CAPC1005X60
C21,9.50,7.50,90.00,1uF,CAPC1005X60
C22,6.50,7.50,90.00,1uF,CAPC1005X60
C3,20.00,31.50,270.00,1uF,CAPC1005X60
C4,9.00,33.00,270.00,1uF,CAPC1005X60
C5,18.50,24.50,0.00,865090640004CAP_WCAP-ASLU_04P0X05P5_WRE-L,CAP_WCAP-ASLU_04P0X05P5_WRE-L
C6,12.50,48.00,0.00,865090640004CAP_WCAP-ASLU_04P0X05P5_WRE-L,CAP_WCAP-ASLU_04P0X05P5_WRE-L
C7,22.00,18.50,180.00,4.7uF,CAPC1005X60
C8,18.00,15.50,180.00,4.7uF,CAPC1005X60
C9,21.00,69.00,90.00,1uF,CAPC1005X60
D1,21.92,8.43,270.00,DIODE_1N4004_DO41-10,DO41-10
D10,20.00,60.50,90.00,US1G-E3/61T,DIOM5226X290N
D11,11.00,56.50,180.00,US1G-E3/61T,DIOM5226X290N
D2,18.41,8.50,90.00,DIODE_1N4004_DO41-10,DO41-10
D9,11.00,61.50,180.00,US1G-E3/61T,DIOM5226X290N
IC1,20.00,54.00,0.00,74AUP1T08GWH,SOT65P212X110-5N
JP1,26.00,12.00,90.00,,1X04
JP2,11.50,3.50,0.00,,1X04
JP3,30.00,12.00,90.00,,1X04
L1,10.00,76.00,180.00,"68 uH",INDC2009X120
MS1,15.18,50.85,270.00,ADAFRUIT_FEATHERWING,ADAFRUIT_FEATHERWING
R1,29.00,25.00,270.00,10k,RESC1005X40
R10,13.50,28.00,180.00,1k,RESC1005X40
R11,22.00,15.50,0.00,10k,RESC1005X40
R12,18.00,18.50,180.00,10k,RESC1005X40
R13,12.50,10.50,270.00,100k,RESC1005X40
R14,9.50,10.50,270.00,100k,RESC1005X40
R15,6.50,10.50,270.00,100k,RESC1005X40
R2,17.00,49.50,90.00,1k,RESC1005X40
R3,21.00,49.50,90.00,100k,RESC1005X40
R4,16.50,62.00,270.00,1k,RESC1005X40
R5,24.50,66.50,0.00,10k,RESC1005X40
R6,24.50,68.50,0.00,100k,RESC1005X40
R7,13.50,25.00,0.00,1k,RESC1005X40
R8,10.50,25.00,0.00,1k,RESC1005X40
R9,10.50,28.00,180.00,1k,RESC1005X40
SHUNT,3.50,10.50,270.00,10k,RESC3216X70
U$1,30.00,55.00,270.00,PINHD-1X06_1X06M,1X06
U1,13.50,34.00,180.00,OP747ARUZ-REELRU_14_ADI,RU_14_ADI
U10,9.00,17.00,180.00,OP747ARUZ-REELRU_14_ADI,RU_14_ADI
U2,26.00,23.00,270.00,ADS1115IDGSRDGS0010A_L,DGS0010A_L
U4,15.50,68.00,0.00,CD4060BPWR,CD4060BPWR
U5,13.50,41.00,0.00,MAX4678EUE+,SOP65P640X110-16N
U6,16.00,74.50,0.00,TPS60400DBVR,SOT95P280X145-5N
