Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CATEGORY,COPYRIGHT,CURRENT_RATING,DATASHEET,DESCRIPTION,FORWARD_CURRENT,FORWARD_VOLTAGE,HEIGHT,MANUFACTURER,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MATERIAL_CORE,MF,MFR_NAME,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MP,MPN,OPERATING_TEMP,OPERATING_TEMPERATURE,PACKAGE,PACKAGE_SIZE,PACKAGE_TYPE,PART_STATUS,POPULARITY,PRICE,RATING,REFDES,REVERSE_VOLTAGE,ROHS,ROHS_COMPLIANT,SERIES,SUB-CATEGORY,SUBCATEGORY,TEMPERATURE_COEFFICIENT,THERMALLOSS,TOLERANCE,TYPE,VOLTAGE_RATING,ZENER_VOLTAGE
3,,PINHD-1X4,1X04,"JP1, JP2, JP3","PIN HEADER",,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,
5,100k,R-US_CHIP-0402(1005-METRIC),RESC1005X40,"R3, R6, R13, R14, R15","Resistor Fixed - ANSI",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,,,
4,10k,R-US_CHIP-0402(1005-METRIC),RESC1005X40,"R1, R5, R11, R12","Resistor Fixed - ANSI",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,,,
1,10k,R-US_CHIP-1206(3216-METRIC),RESC3216X70,SHUNT,"Resistor Fixed - ANSI",,,,Resistors,,,,"Chip Resistor 3.20 X 1.60 X 0.70 mm body 1206(3216-METRIC) Package",,,,,,,,,,,,,,,,,1206,"Surface Mount",,,,,,,,,,,,,,,,,
6,1k,R-US_CHIP-0402(1005-METRIC),RESC1005X40,"R2, R4, R7, R8, R9, R10","Resistor Fixed - ANSI",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,,,
2,1nF,C_CHIP-0402(1005-METRIC),CAPC1005X60,"C13, C14","Capacitor - Generic",,,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1uF,C_CHIP-0402(1005-METRIC),CAPC1005X60,"C1, C2, C3, C4, C9, C10, C11, C12, C15, C16, C17, C18, C19, C20, C21, C22","Capacitor - Generic",,,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.7uF,C_CHIP-0402(1005-METRIC),CAPC1005X60,"C7, C8","Capacitor - Generic",,,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"68 uH",L_CHIP-0805(2012-METRIC),INDC2009X120,L1,"Inductor Fixed - Generic",,,,Inductors,,,,"Chip  2.00 X 0.90 X 1.20 mm body 0805(2012-METRIC)",,,,,,,,,,,,,,,,,0805,"Surface Mount",,,,,,,,,,,,,,,,,
1,74AUP1T08GWH,74AUP1T08GWH,SOT65P212X110-5N,IC1,"74AUP1T08 - Low-power 2-input AND gate with voltage-level translator@en-us",74AUP1T08GWH,https://www.arrow.com/en/products/74aup1t08gwh/nexperia?region=nac,,,,,,"74AUP1T08 - Low-power 2-input AND gate with voltage-level translator@en-us",,,1.1mm,,Nexperia,74AUP1T08GWH,,,,771-74AUP1T08GWH,https://www.mouser.co.uk/ProductDetail/Nexperia/74AUP1T08GWH?qs=chTDxNqvsynKkpBm9IAgCA%3D%3D,,,,,,,,,,,,,,,,,,,,,,,,
2,865090640004CAP_WCAP-ASLU_04P0X05P5_WRE-L,865090640004CAP_WCAP-ASLU_04P0X05P5_WRE-L,CAP_WCAP-ASLU_04P0X05P5_WRE-L,"C5, C6",,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,865090640004,,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,,,,,,,
1,ADAFRUIT_FEATHERWING,ADAFRUIT_FEATHERWING,ADAFRUIT_FEATHERWING,MS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ADS1115IDGSRDGS0010A_L,ADS1115IDGSRDGS0010A_L,DGS0010A_L,U2,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,ADS1115IDGSR,,,"Texas Instruments",,,,,,,,,,,,,,RefDes,,,,,,,,,,TYPE,,
1,CD4060BPWR,CD4060BPWR,CD4060BPWR,U4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DIODE_1N4004_DO41-10,DIODE_1N4004_DO41-10,DO41-10,"D1, D2","Diode Rectifier - Popular Parts",,,,Diode,,,https://www.onsemi.com/pdf/datasheet/1n4001-d.pdfv,"Diode 400 V 1A Through Hole DO-41","1 A","1.1 V",,onsemi,,,,,,,,,1N4004,,"-55°C ~ 175°C",,DO-41,"Through Hole",Obsolete,,,,,NA,Compliant,,1N4004,,Rectifiers,,,,"Single Diodes",,NA
1,MAX4678EUE+,MAX4678EUE+,SOP65P640X110-16N,U5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
