Reference Designators;Quantity;Description;Package;Value;Manufacturer;Manufacturer Part Number;Vendor;Vendor Part Number;Top/Bottom;
;1;Board;Board;;;;;;;
C1, C2;2;Capacitor - Generic;CAPC2012X110;1uF;;;;;Top;
C5;1;Capacitor - Generic;CAPC2012X110;100nF;;;;;Top;
I2C#1-SOLDERPADS, LED_SOLDERPADS;2;;1X04;PINHD-1X04_1X04M;;;;;Top;
LED1_ALWAYS-ON, LED2_READING, LED3_BLUETOOTH_READING;3;;LED_LSM0805_2P0X1P25X0P8_VCC;LSM0805543VLED_LSM0805_2P0X1P25X0P8_VCC;;;;;Top;
R1, R2, R3;3;Resistor Fixed - Generic;RESC2012X65;2.2k;;;;;Top;
R5;1;Resistor Fixed - Generic;RESC2012X65;10k;;;;;Top;
REED_SWITCH_HOLE;1;;1X02;PINHD-1X02_1X02M;;;;;Top;
U2;1;;MS5803-02BA01_TEC;MS580302BA01-00MS5803-02BA01_TEC;;;;;Top;
U3;1;Check availability;PHODET_VCNL4020;VCNL4020-GS08;;;;;Top;
