ID,,Timestamp,,Packet,Analog,,,MS5803_0,,RawA0,RawA2
name,instance,date,time,Number,Vbat,EC[0],turbidity[2],pressure,temp,EC,TURBIDITY
Device,1,8/28/2020,20:08:14,1,0,2.76,1.97,0,20,3,2445
Device,1,8/28/2020,20:08:16,2,0,1.38,2.04,0,20,5,2535
Device,1,8/28/2020,20:08:18,3,0,1.38,2.04,0,20,7,2535
Device,1,8/28/2020,20:08:20,4,0,1.38,2.03,0,20,2,2524
Device,1,8/28/2020,20:08:22,5,0,1.38,1.98,0,20,7,2456
Device,1,8/28/2020,20:08:24,6,0,4.14,1.99,0,20,3,2470
Device,1,8/28/2020,20:08:26,7,0,1.38,1.98,0,20,3,2458
Device,1,8/28/2020,20:08:28,8,0,2.76,2.09,0,20,6,2597
Device,1,8/28/2020,20:08:30,9,0,1.38,2.1,0,20,9,2602
Device,1,8/28/2020,20:08:32,10,0,1.38,2.1,0,20,1,2604
Device,1,8/28/2020,20:08:34,11,0,1.38,2.1,0,20,7,2604
Device,1,8/28/2020,20:08:36,12,0,2.76,2.09,0,20,13,2598
Device,1,8/28/2020,20:08:38,13,0,0,2.08,0,20,11,2586
Device,1,8/28/2020,20:08:40,14,0,2.76,1.97,0,20,5,2440
Device,1,8/28/2020,20:08:42,15,0,1.38,1.99,0,20,6,2470
Device,1,8/28/2020,20:08:44,16,0,0,1.98,0,20,8,2452
Device,1,8/28/2020,20:08:46,17,0,0,1.93,0,20,7,2400
Device,1,8/28/2020,20:08:48,18,0,2.76,1.94,0,20,2,2401
Device,1,8/28/2020,20:08:50,19,0,1.38,1.94,0,20,3,2418
Device,1,8/28/2020,20:08:52,20,0,1.38,2.01,0,20,4,2502
Device,1,8/28/2020,20:08:54,21,0,1.38,2.04,0,20,5,2531
Device,1,8/28/2020,20:08:56,22,0,2.76,2.02,0,20,3,2519
Device,1,8/28/2020,20:08:58,23,0,4.14,1.97,0,20,5,2454
Device,1,8/28/2020,20:09:00,24,0,0,1.93,0,20,5,2400
Device,1,8/28/2020,20:09:02,25,0,1.38,1.93,0,20,15,2400
Device,1,8/28/2020,20:09:04,26,0,2.76,1.93,0,20,7,2399
Device,1,8/28/2020,20:09:06,27,0,2.76,1.93,0,20,7,2402
Device,1,8/28/2020,20:09:08,28,0,1.38,1.93,0,20,6,2396
Device,1,8/28/2020,20:09:10,29,0,0,1.93,0,20,3,2394
Device,1,8/28/2020,20:09:12,30,0,0,1.94,0,20,4,2411
Device,1,8/28/2020,20:09:14,31,0,1.38,1.88,0,20,6,2341
Device,1,8/28/2020,20:09:16,32,0,0,1.89,0,20,5,2345
Device,1,8/28/2020,20:09:18,33,0,1.38,1.88,0,20,6,2334
Device,1,8/28/2020,20:09:20,34,0,2.76,1.96,0,20,7,2436
Device,1,8/28/2020,20:09:22,35,0,1.38,1.97,0,20,3,2453
Device,1,8/28/2020,20:09:24,36,0,1.38,1.98,0,20,3,2456
Device,1,8/28/2020,20:09:26,37,0,1.38,1.97,0,20,4,2455
Device,1,8/28/2020,20:09:28,38,0,2.76,1.98,0,20,0,2456
Device,1,8/28/2020,20:09:30,39,0,1.38,1.97,0,20,3,2452
Device,1,8/28/2020,20:09:32,40,0,1.38,1.97,0,20,8,2456
Device,1,8/28/2020,20:09:34,41,0,1.38,1.97,0,20,4,2450
Device,1,8/28/2020,20:09:36,42,0,1.38,1.97,0,20,3,2443
Device,1,8/28/2020,20:09:38,43,0,0,1.97,0,20,3,2446
Device,1,8/28/2020,20:09:40,44,0,2.76,1.97,0,20,3,2443
Device,1,8/28/2020,20:09:42,45,0,0,1.98,0,20,8,2461
Device,1,8/28/2020,20:09:44,46,0,0,1.98,0,20,5,2457
Device,1,8/28/2020,20:09:46,47,0,1.38,1.98,0,20,12,2451
Device,1,8/28/2020,20:09:48,48,0,1.38,1.98,0,20,7,2457
Device,1,8/28/2020,20:09:50,49,0,0,1.94,0,20,7,2407
Device,1,8/28/2020,20:09:52,50,0,27.5,1.89,0,20,27,2347
Device,1,8/28/2020,20:09:54,51,0,54.74,1.88,0,20,43,2333
Device,1,8/28/2020,20:09:56,52,0,56.09,1.88,0,20,47,2342
Device,1,8/28/2020,20:09:58,53,0,57.45,1.88,0,20,47,2334
Device,1,8/28/2020,20:10:00,54,0,56.09,1.89,0,20,44,2350
Device,1,8/28/2020,20:10:02,55,0,58.8,1.87,0,20,48,2331
Device,1,8/28/2020,20:10:04,56,0,60.16,1.87,0,20,50,2329
Device,1,8/28/2020,20:10:06,57,0,58.8,1.87,0,20,48,2328
Device,1,8/28/2020,20:10:08,58,0,57.45,1.87,0,20,48,2329
Device,1,8/28/2020,20:10:10,59,0,57.45,1.88,0,20,46,2342
Device,1,8/28/2020,20:10:12,60,0,57.45,1.89,0,20,54,2340
Device,1,8/28/2020,20:10:14,61,0,57.45,1.89,0,20,47,2349
Device,1,8/28/2020,20:10:16,62,0,60.16,1.89,0,20,46,2344
Device,1,8/28/2020,20:10:18,63,0,57.45,1.89,0,20,45,2341
Device,1,8/28/2020,20:10:20,64,0,57.45,1.89,0,20,51,2355
Device,1,8/28/2020,20:10:22,65,0,58.8,1.9,0,20,46,2367
Device,1,8/28/2020,20:10:24,66,0,60.16,1.9,0,20,47,2357
Device,1,8/28/2020,20:10:26,67,0,58.8,1.88,0,20,47,2339
Device,1,8/28/2020,20:10:28,68,0,58.8,1.89,0,20,47,2345
Device,1,8/28/2020,20:10:30,69,0,57.45,1.89,0,20,48,2344
Device,1,8/28/2020,20:10:32,70,0,60.16,1.89,0,20,43,2345
